step,lang_loss,tri_loss,lr,entropy,dead_bits,elapsed_s
17101,1.1816,0.0000,0.000224,0.9779,0,2931
17151,1.1773,0.0000,0.000224,0.9778,0,2940
17201,1.1568,0.0000,0.000223,0.9781,0,2949
17251,1.1846,0.0000,0.000223,0.9794,0,2957
17301,1.1593,0.0000,0.000223,0.9813,0,2966
17351,1.1300,0.0000,0.000222,0.9838,0,2974
17401,1.1558,0.0000,0.000222,0.9789,0,2983
17451,1.1792,0.0000,0.000221,0.9799,0,2991
17501,1.2404,0.0000,0.000221,0.9799,0,3000
17551,1.1724,0.0000,0.000220,0.9812,0,3009
17601,1.1872,0.0000,0.000220,0.9797,0,3017
17651,1.2144,0.0000,0.000220,0.9799,0,3026
17701,1.1495,0.0000,0.000219,0.9801,0,3034
17751,1.1678,0.0000,0.000219,0.9797,0,3043
17801,1.1949,0.0000,0.000218,0.9824,0,3051
17851,1.1957,0.0000,0.000218,0.9801,0,3060
17901,1.1694,0.0000,0.000217,0.9806,0,3069
17951,1.1476,0.0000,0.000217,0.9807,0,3077
18001,1.1644,0.0000,0.000217,0.9784,0,3086
18051,1.2144,0.0000,0.000216,0.9817,0,3094
18101,1.2594,0.0000,0.000216,0.9818,0,3103
18151,1.1355,0.0000,0.000215,0.9815,0,3111
18201,1.1804,0.0000,0.000215,0.9809,0,3120
18251,1.1155,0.0000,0.000214,0.9798,0,3129
18301,1.1925,0.0000,0.000214,0.9809,0,3137
18351,1.2510,0.0000,0.000214,0.9806,0,3146
18401,1.1997,0.0000,0.000213,0.9800,0,3154
18451,1.1792,0.0000,0.000213,0.9806,0,3163
18501,1.1225,0.0000,0.000212,0.9802,0,3171
18551,1.1214,0.0000,0.000212,0.9802,0,3180
18601,1.1373,0.0000,0.000211,0.9801,0,3189
18651,1.1407,0.0000,0.000211,0.9808,0,3197
18701,1.1322,0.0000,0.000211,0.9812,0,3206
18751,1.1208,0.0000,0.000210,0.9801,0,3214
18801,1.1947,0.0000,0.000210,0.9805,0,3223
18851,1.1859,0.0000,0.000209,0.9816,0,3231
18901,1.1069,0.0000,0.000209,0.9799,0,3240
18951,1.2183,0.0000,0.000208,0.9795,0,3249
19001,1.1694,0.0000,0.000208,0.9797,0,3257
19051,1.1316,0.0000,0.000208,0.9794,0,3266
19101,1.1572,0.0000,0.000207,0.9792,0,3274
19151,1.1335,0.0000,0.000207,0.9827,0,3283
19201,1.1671,0.0000,0.000206,0.9798,0,3291
19251,1.1647,0.0000,0.000206,0.9787,0,3300
19301,1.1044,0.0000,0.000205,0.9808,0,3309
19351,1.1297,0.0000,0.000205,0.9820,0,3317
19401,1.1924,0.0000,0.000204,0.9800,0,3326
19451,1.1556,0.0000,0.000204,0.9798,0,3334
19501,1.1515,0.0000,0.000204,0.9827,0,3343
19551,1.1328,0.0000,0.000203,0.9822,0,3351
19601,1.1256,0.0000,0.000203,0.9835,0,3360
19651,1.1781,0.0000,0.000202,0.9811,0,3369
19701,1.1550,0.0000,0.000202,0.9804,0,3377
19751,1.1576,0.0000,0.000201,0.9818,0,3386
19801,1.1462,0.0000,0.000201,0.9818,0,3394
19851,1.1756,0.0000,0.000200,0.9819,0,3403
19901,1.1688,0.0000,0.000200,0.9819,0,3411
19951,1.1241,0.0000,0.000200,0.9813,0,3420
20001,1.1420,0.0000,0.000199,0.9830,0,3429
20051,1.1119,0.0000,0.000199,0.9815,0,3437
20101,1.0867,0.0000,0.000198,0.9834,0,3446
20151,1.1689,0.0000,0.000198,0.9813,0,3454
20201,1.1156,0.0000,0.000197,0.9805,0,3463
20251,1.1281,0.0000,0.000197,0.9786,0,3471
20301,1.1045,0.0000,0.000196,0.9814,0,3480
20351,1.1359,0.0000,0.000196,0.9822,0,3489
20401,1.1576,0.0000,0.000195,0.9809,0,3497
20451,1.1223,0.0000,0.000195,0.9807,0,3506
20501,1.1655,0.0000,0.000195,0.9800,0,3514
20551,1.1384,0.0000,0.000194,0.9824,0,3523
20601,1.1288,0.0000,0.000194,0.9815,0,3531
20651,1.1212,0.0000,0.000193,0.9798,0,3540
20701,1.1427,0.0000,0.000193,0.9813,0,3549
20751,1.1224,0.0000,0.000192,0.9801,0,3557
20801,1.1064,0.0000,0.000192,0.9821,0,3566
20851,1.0844,0.0000,0.000191,0.9822,0,3574
20901,1.1153,0.0000,0.000191,0.9825,0,3583
20951,1.1520,0.0000,0.000190,0.9809,0,3591
21001,1.0568,0.0000,0.000190,0.9824,0,3600
21051,1.1058,0.0000,0.000190,0.9799,0,3609
21101,1.0772,0.0000,0.000189,0.9821,0,3617
21151,1.1272,0.0000,0.000189,0.9809,0,3626
21201,1.1574,0.0000,0.000188,0.9795,0,3634
21251,1.0992,0.0000,0.000188,0.9811,0,3643
21301,1.0993,0.0000,0.000187,0.9806,0,3651
21351,1.0908,0.0000,0.000187,0.9831,0,3660
21401,1.0922,0.0000,0.000186,0.9815,0,3669
21451,1.0891,0.0000,0.000186,0.9819,0,3677
21501,1.1189,0.0000,0.000185,0.9821,0,3686
21551,1.0824,0.0000,0.000185,0.9810,0,3694
21601,1.0735,0.0000,0.000184,0.9818,0,3703
21651,1.0736,0.0000,0.000184,0.9830,0,3711
21701,1.0840,0.0000,0.000184,0.9806,0,3720
21751,1.0647,0.0000,0.000183,0.9830,0,3729
21801,1.0930,0.0000,0.000183,0.9813,0,3737
21851,1.1039,0.0000,0.000182,0.9821,0,3746
21901,1.0827,0.0000,0.000182,0.9833,0,3754
21951,1.1153,0.0000,0.000181,0.9806,0,3763
22001,1.0955,0.0000,0.000181,0.9809,0,3771
22051,1.0545,0.0000,0.000180,0.9828,0,3780
22101,1.0714,0.0000,0.000180,0.9820,0,3789
22151,1.0454,0.0000,0.000179,0.9820,0,3797
22201,1.0557,0.0000,0.000179,0.9837,0,3806
22251,1.1149,0.0000,0.000178,0.9809,0,3814
22301,1.0798,0.0000,0.000178,0.9800,0,3823
22351,1.1132,0.0000,0.000177,0.9812,0,3831
22401,1.0133,0.0000,0.000177,0.9822,0,3840
22451,1.0708,0.0000,0.000177,0.9834,0,3849
22501,1.1174,0.0000,0.000176,0.9805,0,3857
22551,1.0546,0.0000,0.000176,0.9822,0,3866
22601,1.1289,0.0000,0.000175,0.9814,0,3874
22651,1.1113,0.0000,0.000175,0.9796,0,3883
22701,1.1214,0.0000,0.000174,0.9809,0,3891
22751,1.0795,0.0000,0.000174,0.9820,0,3900
22801,1.0789,0.0000,0.000173,0.9799,0,3909
22851,1.0847,0.0000,0.000173,0.9805,0,3917
22901,1.0314,0.0000,0.000172,0.9824,0,3926
22951,1.0609,0.0000,0.000172,0.9841,0,3934
23001,1.0648,0.0000,0.000171,0.9818,0,3943
23051,1.0345,0.0000,0.000171,0.9824,0,3951
23101,1.0645,0.0000,0.000170,0.9825,0,3960
23151,1.0869,0.0000,0.000170,0.9817,0,3968
23201,1.0213,0.0000,0.000169,0.9820,0,3977
23251,1.0603,0.0000,0.000169,0.9820,0,3986
23301,1.0976,0.0000,0.000169,0.9810,0,3994
23351,1.1194,0.0000,0.000168,0.9831,0,4003
23401,1.0613,0.0000,0.000168,0.9824,0,4011
23451,1.0523,0.0000,0.000167,0.9824,0,4020
23501,1.0655,0.0000,0.000167,0.9833,0,4028
23551,1.0288,0.0000,0.000166,0.9824,0,4037
23601,1.0647,0.0000,0.000166,0.9818,0,4046
23651,1.0747,0.0000,0.000165,0.9828,0,4054
23701,1.0275,0.0000,0.000165,0.9830,0,4063
23751,1.0004,0.0000,0.000164,0.9826,0,4071
23801,1.0420,0.0000,0.000164,0.9815,0,4080
23851,1.0287,0.0000,0.000163,0.9815,0,4088
23901,1.0654,0.0000,0.000163,0.9817,0,4097
23951,1.0758,0.0000,0.000162,0.9835,0,4106
24001,1.0609,0.0000,0.000162,0.9813,0,4114
24051,1.0009,0.0000,0.000161,0.9813,0,4123
24101,1.0068,0.0000,0.000161,0.9817,0,4131
24151,1.0514,0.0000,0.000160,0.9816,0,4140
24201,1.0313,0.0000,0.000160,0.9820,0,4148
24251,0.9893,0.0000,0.000160,0.9825,0,4157
24301,1.0510,0.0000,0.000159,0.9824,0,4166
24351,1.0196,0.0000,0.000159,0.9825,0,4174
24401,1.0172,0.0000,0.000158,0.9832,0,4183
24451,0.9652,0.0000,0.000158,0.9832,0,4191
24501,1.0793,0.0000,0.000157,0.9822,0,4200
24551,1.0616,0.0000,0.000157,0.9814,0,4208
24601,1.0359,0.0000,0.000156,0.9829,0,4217
24651,1.0862,0.0000,0.000156,0.9838,0,4226
24701,1.0489,0.0000,0.000155,0.9833,0,4234
24751,1.0257,0.0000,0.000155,0.9811,0,4243
24801,1.0023,0.0000,0.000154,0.9803,0,4251
24851,1.0756,0.0000,0.000154,0.9812,0,4260
24901,0.9962,0.0000,0.000153,0.9827,0,4268
24951,1.0714,0.0000,0.000153,0.9815,0,4277
